STOCK_CODE,COMPANY,SECTOR,SECOND_SECTOR,STOCK_PRICE,STOCK_TYPE,VALUATION,STOCK_AVAILABLE_AMOUNT,AVG_21_NEGOCIATION,DIVIDEND_PERIOD,DIVIDEND_LAST_PRICE,DIVIDEND_TOTAL_VALUE_SHARED,NET_PROFIT,DIVIDEND_YELD,AVG_PAYOUT_12_MONTHS,AVG_PAYOUT_5_YEARS,MAJOR_SHARE_HOLDER
RPMG3,"REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A - REFINARIA PET MANGUINHOS SA","Petróleo, Gás e Biocombustíveis","Exploração e/ou Refino e Distribuição",3.000000,ON,203076000.000000,67692000.000000,26080.000000,0,0.020900,0.000000,251191000.000000,0.000000,0.000000,0.000000,
RSID3,"ROSSI RESIDENCIAL - ROSSI RESIDENCIAL SA","Construção e Engenharia","Construção Civil",5.810000,ON,99660900.000000,17153300.000000,1025940.000000,0,0.307000,0.000000,-259038000.000000,0.000000,0.000000,0.000000,"Landia Negócios Imobiliários Ltda"
RSIP3,"RASIP AGRO PASTORIL - RASIP AGRO PASTORIL SA",Agropecuária,Agricultura,0.440000,ON,88034300.000000,200078000.000000,0.000000,0,0.000000,0.000000,3879000.000000,0.000000,0.000000,0.000000,
SALM3,"SEARA ALIMENTOS - SEARA ALIMENTOS SA",,,5.700000,ON,0.000000,0.000000,0.000000,0,0.000000,0.000000,92870000.000000,0.000000,0.000000,0.000000,
SANB3,"SANTANDER - BANCO SANTANDER S.A.",Financeiros,Bancos,24.840000,ON,186264000000.000000,7498530000.000000,166616.000000,0,0.076500,6316637626.490067,11293600000.000000,0.034000,0.559311,0.000000,"Santander Insurance Holding S.L."
SAPR3,"SANEPAR - CIA. DE SANEAMENTO DO PARANÁ - SANEPAR","Água e Saneamento","Água e Saneamento",16.490000,ON,8306590000.000000,503735000.000000,282069.000000,0,0.012100,316210728.416667,726666000.000000,0.038000,0.435153,0.000000,"FI CAIXA FGP-PR MULTIMERCADO"
SASG3,"SUL AMERICA SEGUROS - SUL AMERICA CIA NACL SEGUROS","Previdência e Seguros",Seguradoras,0.980000,ON,2004620000.000000,2045530000.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SBSP3,"SABESP - CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO","Água e Saneamento","Água e Saneamento",37.860000,ON,25877700000.000000,683510000.000000,70154400.000000,0,0.000000,698313035.915493,1940100000.000000,0.027000,0.359937,0.000000,"Secretaria da Fazenda do Estado de São Paulo"
SCAR3,"SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A. - SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","Exploração de Imóveis","Exploração de Imóveis",34.310000,ON,1980960000.000000,57737000.000000,171722.000000,0,0.320300,0.000000,120108000.000000,0.000000,0.000000,0.000000,"LTS Trading Company LLC"
SCLO3,"SCHLOSSER TECIDOS - CIA INDL SCHLOSSER SA","Tecidos, Vestuário e Calçados","Fios e Tecidos",14.100000,ON,13536000.000000,960000.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SDIA3,"SADIA - SADIA SA",Alimentos,"Carnes e Derivados",6.420000,ON,4320350000.000000,672951000.000000,0.000000,0,0.000000,0.000000,-2712470000.000000,0.000000,0.000000,0.000000,
SEBB3,"SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A - SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A",Diversos,Educacional,0.000000,ON,0.000000,282634000.000000,0.000000,0,0.000000,0.000000,33543000.000000,0.000000,0.000000,0.000000,
SEDU3,"SOMOS EDUCA - SOMOS EDUCAÇÃO S.A.",Mídia,"Jornais, Livros e Revistas",21.980000,ON,5761600000.000000,262129000.000000,2522240.000000,0,0.044500,0.000000,-103936000.000000,0.000000,0.000000,0.000000,
SEER3,"SER EDUCA - SER EDUCACIONAL S.A.",Diversos,Educacional,16.250000,ON,2160470000.000000,132952000.000000,10768300.000000,0,0.151300,58217400.000000,172496000.000000,0.027000,0.337500,0.000000,"José Janguiê Bezerra Diniz"
SEMP3,"SEMP TOSHIBA - SEMP TOSHIBA SA",Comércio,Eletrodomésticos,16.860000,ON,161603000.000000,9585000.000000,0.000000,0,0.000000,0.000000,-19912000.000000,0.000000,0.000000,0.000000,
SFSA3,"Sofisa - BANCO SOFISA SA",Financeiros,Bancos,0.000000,ON,0.000000,137747000.000000,0.000000,0,0.000000,0.000000,46253000.000000,0.000000,0.000000,0.000000,
SGEN3,"SERGEN - SERGEN SERVS GERAIS DE ENG SA","Construção e Engenharia","Construção Civil",5.000000,ON,121375000.000000,24275000000.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SGPS3,"Springs - SPRINGS GLOBAL PARTICIPAÇÕES S/A","Tecidos, Vestuário e Calçados","Fios e Tecidos",8.800000,ON,440000000.000000,50000000.000000,404560.000000,0,0.081200,0.000000,7415000.000000,0.000000,0.000000,0.000000,"LEBLON EQUITIES GESTÃO DE RECURSOS LTDA."
SHOW3,"TIME FOR FUN - T4F Entretenimento S.A.","Viagens e Lazer","Produção de Eventos e Shows",7.410000,ON,500182000.000000,67501000.000000,1004640.000000,0,0.313000,0.000000,38372000.000000,0.000000,0.000000,0.000000,AcoesTesouraria
SJOS3,"SÃO JOSÉ - FIACAO TECELAGEM SAO JOSE SA","Tecidos, Vestuário e Calçados","Fios e Tecidos",1.190000,ON,16065000.000000,13500000.000000,0.000000,0,0.000000,0.000000,-1985000.000000,0.000000,0.000000,0.000000,
SLCE3,"SLC Agricola - SLC AGRICOLA SA",Agropecuária,Agricultura,42.780000,ON,4076830000.000000,95297500.000000,33140800.000000,0,2.134000,203947110.650888,483409000.000000,0.050000,0.421893,0.000000,"SLC PARTICIPAÇÕES S.A."
SLCP3,"SULACAP - SUL AMERICA CAPITALIZACAO S.A.",,,610.020000,ON,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SLED3,"EDITORA SARAIVA - SARAIVA SA LIVREIROS EDITORES",Mídia,"Jornais, Livros e Revistas",2.200000,ON,58744400.000000,26702000.000000,17527.000000,0,0.218000,0.000000,-105154000.000000,0.099000,0.000000,0.000000,"GWI ASSET MANAGEMENT S.A."
SMLE3,"SMILES - SMILES S.A.",Diversos,"Programas de Fidelização",92.820000,ON,11496400000.000000,123857000.000000,0.000000,0,4.186800,0.000000,608905000.000000,0.000000,0.000000,0.000000,
SMLS3,"SMILES - SMILES FIDELIDADE S.A.",Diversos,"Programas de Fidelização",43.960000,ON,5451390000.000000,124008000.000000,35910500.000000,0,3.536800,480002110.488706,604271000.000000,0.088000,0.794349,0.000000,
SMTO3,"SAO MARTINHO - SAO MARTINHO S.A.",Alimentos,"Alimentos Diversos",17.920000,ON,6523080000.000000,364011000.000000,14164700.000000,0,0.513100,189243230.315789,484324000.000000,0.029000,0.390737,0.000000,"LJN Participações S.A."
SNSL3,"SENIOR SOL - SENIOR SOLUTION S.A.","Programas e Serviços","Programas e Serviços",24.990000,ON,294557000.000000,11787000.000000,379377.000000,0,0.001000,2083508.368421,4526000.000000,0.007000,0.460342,0.000000,"Fundos geridos pela HIX Investimentos"
SOND3,"SONDOTECNICA S/A. - SONDOTECNICA ENGENHARIA DE SOLOS S/A.","Construção e Engenharia","Engenharia Consultiva",34.800000,ON,85538400.000000,2458000.000000,0.000000,0,1.158900,2818417.582418,6700000.000000,0.033000,0.420659,0.000000,AcoesTesouraria
SPRI3,"SPRINGER - SPRINGER SA","Utilidades Domésticas",Eletrodomésticos,7.210000,ON,18234100.000000,2529000.000000,192.000000,0,0.072300,0.000000,-5679000.000000,0.000000,0.000000,0.000000,"Riomar Comercial e Administradora"
